Date|Open|High|Low|Close|Volume|Change
2017-03-13|40039|40980|40039|40600|148482|0.010452961672473782
2017-03-14|40620|41540|40500|41360|226501|0.01871921182266001
2017-03-15|40800|41440|40800|41400|191757|0.0009671179883945502
2017-03-16|41800|42180|41540|41840|198663|0.010628019323671412
2017-03-17|41800|42500|41720|42400|252046|0.013384321223709472
2017-03-20|42000|42120|41740|41900|205001|-0.011792452830188704
2017-03-21|41780|42680|41760|42560|284403|0.01575178997613369
2017-03-22|41600|42460|41580|42460|328545|-0.0023496240601503793
2017-03-23|42200|42360|41700|41800|307942|-0.015544041450777257
2017-03-24|41600|41980|41080|41500|256163|-0.0071770334928229484
2017-03-27|41200|41880|41180|41200|243553|-0.0072289156626506035
2017-03-28|41560|41840|41380|41480|164325|0.006796116504854455
2017-03-29|41740|41960|41580|41780|201865|0.007232401157184265
2017-03-30|41880|42440|41880|41980|164080|0.00478697941598849
2017-03-31|41820|42020|41200|41200|210006|-0.018580276322058165
2017-04-03|41400|41720|41300|41440|191588|0.005825242718446644
2017-04-04|41600|42180|41520|42080|245110|0.015444015444015413
2017-04-05|41900|42240|41700|42140|213994|0.001425855513307983
2017-04-06|42000|42080|41600|41840|193668|-0.007119126720455671
2017-04-07|41800|41820|41160|41600|200420|-0.005736137667303964
2017-04-10|41940|41940|41500|41940|142827|0.008173076923077005
2017-04-11|41940|41940|41580|41600|143458|-0.008106819265617515
2017-04-12|41860|41940|41700|41900|165498|0.007211538461538547
2017-04-13|41660|42460|41660|42420|180816|0.012410501193317325
2017-04-14|42160|42260|41760|42020|109257|-0.009429514380009385
2017-04-17|42000|42080|41520|41560|104495|-0.01094716801523088
2017-04-18|41680|41820|41280|41500|137213|-0.0014436958614052475
2017-04-19|41299|41420|40900|40900|235258|-0.014457831325301207
2017-04-20|40580|40800|40080|40280|422977|-0.01515892420537901
2017-04-21|40480|41400|40480|40760|302610|0.011916583912611634
2017-04-24|41260|41260|40920|41240|179803|0.011776251226692791
2017-04-25|41460|42740|41320|42700|385992|0.035402521823472366
2017-04-26|42700|42800|42520|42800|295896|0.0023419203747072626
2017-04-27|42700|44520|41960|43840|460645|0.024299065420560817
2017-04-28|45780|45800|44520|44620|453714|0.01779197080291972
2017-05-02|45500|45500|44760|44900|281366|0.006275212909009342
2017-05-04|45700|45700|44860|45520|273802|0.0138084632516704
2017-05-08|45520|47020|45340|47020|391651|0.032952548330404285
2017-05-10|46160|47220|45600|45600|468219|-0.030199914929817107
2017-05-11|45420|46180|45220|45500|425557|-0.002192982456140302
2017-05-12|45760|46160|45660|45820|188458|0.007032967032966964
2017-05-15|45620|46280|45620|46100|160028|0.006110868616324705
2017-05-16|46660|46800|46100|46380|176075|0.006073752711496683
2017-05-17|46120|46640|46100|46340|148489|-0.0008624407072014284
2017-05-18|45740|46000|45540|45940|223207|-0.008631851532153623
2017-05-19|45640|45780|44720|44720|315247|-0.026556377884196736
2017-05-22|45040|45380|44760|45100|352871|0.008497316636851604
2017-05-23|45400|45580|44900|44920|252141|-0.003991130820399147
2017-05-24|44860|45300|44800|44880|173508|-0.0008904719501335867
2017-05-25|45160|45680|44800|45680|260896|0.017825311942959
2017-05-26|45600|46460|45540|46080|272273|0.008756567425569184
2017-05-29|46220|46400|45380|45620|174791|-0.00998263888888884
2017-05-30|45520|45660|44480|44640|248672|-0.021481806225339795
2017-05-31|44580|45020|44400|44700|373382|0.0013440860215054862
2017-06-01|44860|44900|44400|44680|195070|-0.0004474272930649059
2017-06-02|45060|45960|45000|45960|249775|0.0286481647269472
2017-06-05|46040|46360|45720|45940|151988|-0.0004351610095735259
2017-06-07|46500|46500|45240|45300|274588|-0.013931214627775357
2017-06-08|45000|45580|45000|45160|279575|-0.003090507726269287
2017-06-09|45680|46440|45600|46100|234657|0.020814880425155113
2017-06-12|45420|45600|45140|45380|219086|-0.015618221258134501
2017-06-13|45140|45620|45140|45400|172498|0.00044072278536799736
2017-06-14|45800|46060|45240|45360|203334|-0.0008810572687224516
2017-06-15|45680|45920|45180|45680|193140|0.007054673721340388
2017-06-16|45500|45940|45460|45580|348069|-0.002189141856392296
2017-06-19|45580|46560|45560|46560|226078|0.021500658183413845
2017-06-20|47240|48140|47220|48140|300900|0.03393470790378017
2017-06-21|47740|48120|47480|47480|199473|-0.01371001246364767
2017-06-22|47960|48080|47720|47960|229116|0.010109519797809607
2017-06-23|47600|47780|47420|47620|190302|-0.007089241034195171
2017-06-26|47520|48360|47520|48280|171056|0.013859722805543928
2017-06-27|48220|48400|47900|48300|192335|0.00041425020712515526
2017-06-28|47600|48000|47560|47700|191450|-0.012422360248447228
2017-06-29|48040|48320|47940|47940|166131|0.005031446540880502
2017-06-30|47500|47620|47100|47540|237551|-0.008343763037129692
2017-07-03|47500|47780|47120|47220|136111|-0.006731173748422359
2017-07-04|47160|47400|46900|47000|159220|-0.004659042778483724
2017-07-05|46820|47680|46780|47580|212805|0.012340425531914834
2017-07-06|48000|48100|47720|48060|218461|0.010088272383354413
2017-07-07|47740|48120|47620|47860|162638|-0.004161464835622186
2017-07-10|48500|48900|48320|48660|215855|0.01671541997492687
2017-07-11|48640|49000|48280|49000|194356|0.006987258528565521
2017-07-12|49000|50000|48840|49880|189723|0.01795918367346938
2017-07-13|50080|50940|50040|50560|320683|0.013632718524458687
2017-07-14|51000|51080|50420|50480|164780|-0.0015822784810126667
2017-07-17|50900|51020|50520|50640|179522|0.0031695721077653616
2017-07-18|50420|50880|50360|50840|141689|0.003949447077409074
2017-07-19|50620|50820|50000|50740|223150|-0.0019669551534224894
2017-07-20|50760|51320|50560|51200|167352|0.009065825778478587
2017-07-21|50860|51160|50520|51080|168981|-0.002343749999999978
2017-07-24|50700|51000|50620|50860|141995|-0.004306969459671128
2017-07-25|50500|50760|49940|50000|216212|-0.016909162406606337
2017-07-26|49600|50020|49300|49840|224496|-0.0031999999999999806
2017-07-27|50000|50640|49560|49800|228990|-0.0008025682182986049
2017-07-28|49800|49800|47380|47760|523366|-0.04096385542168679
2017-07-31|47420|48240|46920|48200|254028|0.009212730318257867
2017-08-01|48000|48840|47540|48600|227390|0.008298755186721962
2017-08-02|49200|49340|48600|49000|155549|0.008230452674897082
2017-08-03|49000|49000|47120|47780|310816|-0.024897959183673435
2017-08-04|48160|48180|47500|47700|167184|-0.001674340728338164
2017-08-07|47500|48080|47440|47580|144365|-0.002515723270440251
2017-08-08|47980|48260|47480|47720|159592|0.002942412778478287
2017-08-09|47400|47400|46240|46280|291108|-0.030176026823134916
2017-08-10|46200|46320|45460|45900|459723|-0.00821089023336219
2017-08-11|45120|45300|44220|44620|508146|-0.02788671023965139
2017-08-14|45120|45400|44720|45000|383712|0.008516360376512822
2017-08-16|46220|46380|46000|46200|438273|0.026666666666666616
2017-08-17|46960|47300|46740|47040|248317|0.018181818181818077
2017-08-18|46760|47240|46240|46900|209559|-0.0029761904761904656
2017-08-21|47240|47240|46580|46840|102069|-0.0012793176972281106
2017-08-22|46820|47160|46700|47000|147635|0.0034158838599487318
2017-08-23|47780|47780|47180|47480|187694|0.010212765957446912
2017-08-24|47520|47660|47340|47520|173149|0.0008424599831506896
2017-08-25|47880|47880|46720|47020|224871|-0.010521885521885488
2017-08-28|47020|47240|45960|46100|199242|-0.019566142067205416
2017-08-29|45640|46080|45160|46080|252473|-0.0004338394793925726
2017-08-30|46380|46400|45960|46200|150260|0.0026041666666667407
2017-08-31|46220|46640|46000|46320|220234|0.0025974025974024872
2017-09-01|46460|46640|46300|46480|212834|0.003454231433505983
2017-09-04|45780|46360|45500|46040|158870|-0.009466437177280573
2017-09-05|46240|46900|45960|46760|234322|0.01563857515204181
